Identifier,Name,Acronym,IdScanR,Iso3166
180006025,Institut de Recherche pour le Développement,IRD,180006025,fr
180089013,Centre National de la Recherche Scientifique,CNRS,180089013,fr
200310841A,Observatoire des Sciences de l'Univers de Grenoble,OSUG,200310841A,fr
200919527R,Observatoire de Recherche Méditerranéen de l'Environnement,OREME,200919527R,fr
200719584L,Observatoire Midi-Pyrénées,OMP,200719584L,fr
201119478D,Géosciences Environnement Toulouse,GET,201119478D,fr
199512007C,HydroSciences Montpellier,HSM,199512007C,fr
201722374A,Institut des Géosciences de l'Environnement,IGE,201722374A,fr
LabEx OSUG@2020,LabEx OSUG@2020,,,fr
Direction Générale de l'Eau,Direction Générale de l'Eau,DG-Eau,,bj
Direction des Ressources en Eau,Direction des Ressources en Eau,DRE,199512007C,ne
Université Abdou Moumouni,Université Abdou Moumouni,UAM,,ne
Université de Maradi,Université de Maradi,UM,,ne
Université de Zinder,Université de Zinder,UZ,,ne
"Université des Sciences, des Techniques et des Technologies de Bamako","Université des Sciences, des Techniques et des Technologies de Bamako",USTTB,,ml
Université d'Abomey-Calavi,Université d'Abomey-Calavi,UAC,,bj
Département de géographie - Université Abdou Moumouni,Département de géographie - Université Abdou Moumouni,,,ne
